timestamp,buy/sell type,amount,currency,converstionRateToBTC
Sat Oct 22 2016 22:20:50 GMT-0700 (Pacific Daylight Time),SELL,10,BDT,9.99914
Sat Oct 22 2016 22:20:53 GMT-0700 (Pacific Daylight Time),BUY,10,usd,0.01533
